method,config_label,n_samples,success_rate_mean,success_rate_std,confidence_mean,confidence_std,l2_mean,l2_std,channels_mean,channels_std,sensor_groups_mean,sensor_groups_std,modality_groups_mean,modality_groups_std,temporal_grad_mean,temporal_grad_std,iterations_mean,iterations_std,time_mean,time_std
mcels,M-CELS,150,90.000000,30.100503,88.249799,29.530016,45.772859,19.795496,23.246667,11.563618,6.393333,2.479166,11.173333,4.737040,0.012945,0.008329,679.300000,228.661168,9.996751,3.450930
sa,"SA (no SHAP, all groups)",150,91.333333,28.228851,73.615338,27.906215,48.077194,18.347622,33.373333,9.943158,7.806667,0.551954,14.373333,2.054776,0.024976,0.037482,173.960000,38.470573,3.079106,0.660086
sa,SA (no adaptive weights),150,90.000000,30.100503,73.154692,28.432595,44.445948,16.580451,20.906667,10.011635,6.673333,1.453977,9.520000,2.679076,0.020018,0.034737,202.453333,7.409940,3.912912,1.000304
sa,SA (no group loss),150,95.333333,21.163051,76.691182,23.090813,46.754408,16.694147,26.426667,6.901363,7.540000,0.651586,11.106667,1.269924,0.017447,0.024045,165.513333,38.609686,3.162888,1.325560
lg,LG (SHAP pruned),150,94.666667,22.545008,80.780368,22.695059,50.763717,19.531899,18.000000,11.049614,5.800000,1.798583,8.186667,3.103120,0.011594,0.015533,517.960000,219.476585,9.655002,4.207605
lg,"LG (no SHAP, from scratch)",150,90.666667,29.187353,79.299595,27.864552,53.719577,22.546910,25.013333,16.428403,6.473333,1.944521,10.846667,4.549116,0.015984,0.020048,530.506667,242.408766,9.335615,4.354381
lg,LG final (fixed prune),150,88.666667,31.806180,75.236618,28.726815,43.485201,20.731757,11.526667,8.639457,4.100000,2.097458,5.160000,3.166689,0.007186,0.008065,537.206667,244.299280,7.988703,3.866548
