,RF_R_acc,RF_R_gyr,Ham_R_acc,Ham_R_gyr,TA_R_acc,TA_R_gyr,Gast_R_acc,Gast_R_gyr,RF_L_acc,RF_L_gyr,Ham_L_acc,Ham_L_gyr,TA_L_acc,TA_L_gyr,Gast_L_acc,Gast_L_gyr
Squat,79.3103448275862,96.55172413793103,89.65517241379311,96.55172413793103,100.0,13.793103448275861,100.0,82.75862068965517,82.75862068965517,100.0,96.55172413793103,100.0,100.0,37.93103448275862,96.55172413793103,55.172413793103445
Knee Extension,60.3448275862069,58.620689655172406,67.24137931034483,51.724137931034484,100.0,50.0,81.03448275862068,65.51724137931035,75.86206896551724,31.03448275862069,67.24137931034483,44.827586206896555,65.51724137931035,32.758620689655174,63.793103448275865,51.724137931034484
Gait,93.75,100.0,97.91666666666666,97.91666666666666,100.0,100.0,100.0,100.0,66.66666666666666,100.0,83.33333333333334,89.58333333333334,95.83333333333334,97.91666666666666,100.0,97.91666666666666
