exercise,method,n_samples,success_rate,confidence_mean,confidence_std,modality_groups_mean,modality_groups_std,temporal_grad_mean,temporal_grad_std,time_mean,time_std,l2_mean,l2_std,channels_mean,channels_std
Squat,LG (SHAP pruned),29,100.0,83.43057899639524,10.605171129334538,8.793103448275861,2.992601715001604,0.016587320939484725,0.019690144306473437,7.210695899766067,1.189799659217661,40.39409103723399,20.595471476664578,19.862068965517242,12.574702887518242
Squat,M-CELS,29,100.0,97.72368135123418,0.9074707547826905,13.275862068965518,1.601261817713454,0.011072241819457661,0.004136649603303587,6.918396464709578,2.030547768839228,41.86010241555564,8.517184108557403,27.24137931034483,6.29430112093354
Knee Extension,LG (SHAP pruned),73,86.3013698630137,87.6179229645502,10.133996054496171,6.73015873015873,2.935908658629849,0.005379725043929469,0.0041883518992119765,8.95666740054176,8.931242121709463,48.39919904390009,15.487457642153899,14.380952380952381,9.747503520635048
Knee Extension,M-CELS,73,79.45205479452055,98.19170863463961,0.8880261028247661,9.672413793103448,2.2971220058982174,0.009157632711162853,0.003167481762839235,9.0592823316311,2.0463340944286723,47.73372450876239,10.143756446379822,18.051724137931036,5.236251551303656
Gait,LG (SHAP pruned),48,100.0,88.26437157889208,9.186532995314444,10.125,1.5928697506554612,0.021505183940756355,0.02220464600353803,6.960527429978053,1.584787553637,56.93753371571029,17.757265880695204,23.104166666666668,8.887571008983068
Gait,M-CELS,48,100.0,98.09079008797804,1.126767867951424,15.208333333333334,1.1100763503228501,0.022698628394982545,0.005201371183775368,10.94419332842032,1.6329634744152917,60.07145546740956,13.513775966840253,34.375,4.996275208337388
