,RF_R_acc,RF_R_gyr,Ham_R_acc,Ham_R_gyr,TA_R_acc,TA_R_gyr,Gast_R_acc,Gast_R_gyr,RF_L_acc,RF_L_gyr,Ham_L_acc,Ham_L_gyr,TA_L_acc,TA_L_gyr,Gast_L_acc,Gast_L_gyr
Squat,58.620689655172406,55.172413793103445,72.41379310344827,58.620689655172406,79.3103448275862,0.0,82.75862068965517,0.0,62.06896551724138,100.0,51.724137931034484,86.20689655172413,86.20689655172413,0.0,86.20689655172413,0.0
Knee Extension,52.38095238095239,28.57142857142857,58.730158730158735,0.0,44.44444444444444,25.396825396825395,84.12698412698413,31.746031746031743,65.07936507936508,28.57142857142857,49.2063492063492,39.682539682539684,73.01587301587301,12.698412698412698,60.317460317460316,19.047619047619047
Gait,64.58333333333334,97.91666666666666,18.75,58.333333333333336,93.75,95.83333333333334,77.08333333333334,91.66666666666666,0.0,18.75,35.41666666666667,18.75,75.0,77.08333333333334,93.75,95.83333333333334
